Condition,Step,Age-Group,Energy (kcal/kg/day),Protein (g/kg/day),Lipids (g/kg/d),Carbohydrates (g/kg/day),Fluids (ml/kg/day),Notes,Source
Prematurity,,<37weeks,115-140,3.5-4,4.8-8.1,11-15,150-180,Exclusive breastfeeding is the best,"ESPGHAN, 2022"
Healthy Infant,,0–6 months,100–120,1.5–2.2,,,150,Exclusive breastfeeding or formula feeding.,"WHO, SAMRC"
Healthy Toddler,,1–3 years,90–100,1.1–1.5,,,100–120,Nutrient-dense meals; monitor weight gain.,"WHO, SAMRC"
Healthy Child,,4–10 years,80–90,1.0–1.1,,,90–100,Balanced meals; monitor growth on charts.,"WHO, SAMRC"
Healthy Adolescent,,11–18 years,45–60,0.9–1.2,,,50–60,Energy needs vary with activity & puberty.,"WHO, SAMRC"
Moderate Acute Malnutrition (MAM),,6 months – 5 years,110–130,1.5–2,,,120–130,Supplementary feeding & follow-up.,WHO SAM Guidelines
HIV (Paediatric),,Any (paediatric),120–150,1.5–2,,,120–150,Micronutrient support critical; monitor weight gain.,WHO HIV Guidelines
Burns,,Any,130–150,2.5–3,,,↑ based on loss,High calorie/protein for wound healing; monitor electrolytes.,ASPEN Burn Care
Critical Illness,,Any,80–100 (start),1.5–3,,,Depends on condition,"Begin with cautious feeding, increase as tolerated.",ASPEN Paediatric Critical Care
Cystic Fibrosis,,Any,120–150%,1.5–2,,,Normal,Pancreatic enzyme support needed; high fat.,Cystic Fibrosis Foundation
Renal Disease,,Any,Normal to ↑,Adjust per stage,,,Restricted/adjusted,"Monitor fluid, electrolytes, potassium, phosphorus.",ESPEN/ISRNM
Severe Acute Malnutrition (SAM),Step 1: Stabilization (F-75),6 months – 5 years,100,0.9,,,130,"Use only in stabilization phase (low protein, low sodium).",WHO SAM Guidelines
Severe Acute Malnutrition (SAM),Step 2: Rehabilitation (F-100),6 months – 5 years,150–220,4–6,,,150–220,For catch-up growth during rehabilitation phase.,WHO SAM Guidelines